::1 - Tue May 13 2025 16:24:52 GMT+0800 (China Standard Time) - GET / HTTP/1.1 200 3 - 4 http://localhost:5173/ Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36
::ffff:127.0.0.1 - Tue May 13 2025 16:24:54 GMT+0800 (China Standard Time) - GET / HTTP/1.1 304 - - 1 http://localhost:5173/ Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36
::ffff:127.0.0.1 - Tue May 13 2025 16:24:55 GMT+0800 (China Standard Time) - GET / HTTP/1.1 500 - - 2 http://localhost:5173/ Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36
::1 - Tue May 13 2025 16:24:55 GMT+0800 (China Standard Time) - GET / HTTP/1.1 304 - - 1 http://localhost:5173/ Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36
::1 - Tue May 13 2025 16:25:26 GMT+0800 (China Standard Time) - GET / HTTP/1.1 304 - - 3 http://localhost:5173/ Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36
::1 - Tue May 13 2025 16:25:26 GMT+0800 (China Standard Time) - GET / HTTP/1.1 304 - - 2 http://localhost:5173/ Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36
::1 - Tue May 13 2025 16:25:49 GMT+0800 (China Standard Time) - GET / HTTP/1.1 304 - - 3 http://localhost:5173/ Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36
::1 - Tue May 13 2025 16:25:49 GMT+0800 (China Standard Time) - GET / HTTP/1.1 500 - - 4 http://localhost:5173/ Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36
::1 - Tue May 13 2025 16:25:49 GMT+0800 (China Standard Time) - GET / HTTP/1.1 304 - - 1 http://localhost:5173/ Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36
::1 - Tue May 13 2025 16:26:01 GMT+0800 (China Standard Time) - GET / HTTP/1.1 304 - - 1 http://localhost:5173/ Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36
::1 - Tue May 13 2025 16:26:01 GMT+0800 (China Standard Time) - GET / HTTP/1.1 304 - - 1 http://localhost:5173/ Mozilla/5.0 (Linux; Android 6.0; Nexus 5 Build/MRA58N) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36
